article,finalscore,percentile,googlescore,itfscore,count
chain,0.149480415667,0.407407407407,0,0.611510791367,1
celebrity-inspired summer,0.149480415667,0.407407407407,0,0.611510791367,1
fashionista,0.167087018143,0.407407407407,0.0440165061898,0.611510791367,1
pure style,0.149480415667,0.407407407407,0,0.611510791367,1
heart-wrenching classic,0.652278177458,0.888888888889,0,1.22302158273,2
faux fur bomber,1.09344898222,0.981481481481,0.032783127006,1.8345323741,3
Rose Ivory,0.162135161197,0.407407407407,0.0316368638239,0.611510791367,1
minimum,0.149480415667,0.407407407407,0,0.611510791367,1
bandana print silk style scarf,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
Rose Honey,0.163694079125,0.407407407407,0.0355341586428,0.611510791367,1
perfect canvas,0.149480415667,0.407407407407,0,0.611510791367,1
bell-bottoms,0.149480415667,0.407407407407,0,0.611510791367,1
fashion accessory,0.149480415667,0.407407407407,0,0.611510791367,1
tie-dye jacquard culottes,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
everyday,0.149480415667,0.407407407407,0,0.611510791367,1
tribal jacquard scarf,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
style,0.149480415667,0.407407407407,0,0.611510791367,1
striped blouse,0.116044708048,0.435294117647,0.0364511691884,0.388489208633,1
off-shoulder blouses,0.652278177458,0.888888888889,0,1.22302158273,2
no-make up,0.149480415667,0.407407407407,0,0.611510791367,1
collarbone steal,0.149480415667,0.407407407407,0,0.611510791367,1
thinking ahead,0.149480415667,0.407407407407,0,0.611510791367,1
cabana,0.166720213925,0.407407407407,0.0430994956442,0.611510791367,1
blouse with open back,0.113201975356,0.435294117647,0.0293443374599,0.388489208633,1
blouse with lace trim,0.112560067974,0.435294117647,0.027739569005,0.388489208633,1
bohemian sartorial sensibility,0.657230034404,0.888888888889,0.0123796423659,1.22302158273,2
tie-dye hand embroidered poncho,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
leather platform slides,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
gold accents,0.149480415667,0.407407407407,0,0.611510791367,1
Bollywood,0.149480415667,0.407407407407,0,0.611510791367,1
skin types,0.652278177458,0.888888888889,0,1.22302158273,2
round,0.149480415667,0.407407407407,0,0.611510791367,1
early 19th century,0.149480415667,0.407407407407,0,0.611510791367,1
cool evening winds,0.154432272614,0.407407407407,0.0123796423659,0.611510791367,1
erstwhile flower childs,0.149480415667,0.407407407407,0,0.611510791367,1
popularity charts,0.149480415667,0.407407407407,0,0.611510791367,1
make-up free look,0.149480415667,0.407407407407,0,0.611510791367,1
acute aversion,0.154432272614,0.407407407407,0.0123796423659,0.611510791367,1
culottes,0.119345946012,0.435294117647,0.044704264099,0.388489208633,1
gallery,0.149480415667,0.407407407407,0,0.611510791367,1
blends,0.16580320338,0.407407407407,0.0408069692801,0.611510791367,1
high level,0.149480415667,0.407407407407,0,0.611510791367,1
leather,0.149480415667,0.407407407407,0,0.611510791367,1
light,0.149480415667,0.407407407407,0,0.611510791367,1
larger-than-life persona,0.149480415667,0.407407407407,0,0.611510791367,1
Amazon India Fashion Week,0.163877481234,0.407407407407,0.0359926639156,0.611510791367,1
midway,0.149480415667,0.407407407407,0,0.611510791367,1
everyday heavy duty makeup,0.657230034404,0.888888888889,0.0123796423659,1.22302158273,2
place,0.149480415667,0.407407407407,0,0.611510791367,1
tones,0.149480415667,0.407407407407,0,0.611510791367,1
animal prints,0.652278177458,0.888888888889,0,1.22302158273,2
long lasting,0.149480415667,0.407407407407,0,0.611510791367,1
womens,0.149480415667,0.407407407407,0,0.611510791367,1
makes,0.149480415667,0.407407407407,0,0.611510791367,1
great coverage,0.149480415667,0.407407407407,0,0.611510791367,1
brief comebacks,0.652278177458,0.888888888889,0,1.22302158273,2
striped indigo shirt,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
poplin shirt with contrasting collar,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
plain twill shirt,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
horizontal stripe shirt,0.114577491175,0.435294117647,0.032783127006,0.388489208633,1
oversized studio shirt,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
asymmetric hem shirt,0.112101562702,0.435294117647,0.026593305823,0.388489208633,1
denim shirt dress,0.118245533357,0.435294117647,0.0419532324622,0.388489208633,1
bull denim shirt,0.432747032571,0.917647058824,0.0123796423659,0.776978417266,2
faded indigo striped shirt,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
stretch shirt with mandarin collar,0.432747032571,0.917647058824,0.0123796423659,0.776978417266,2
poplin shirt,0.443476055954,0.917647058824,0.0392022008253,0.776978417266,2
striped shirt,0.117787028084,0.435294117647,0.0408069692801,0.388489208633,1
short sleeve nautical print polo shirt,0.432747032571,0.917647058824,0.0123796423659,0.776978417266,2
jacket with asymmetric back,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
bomber style jacket,0.115311099611,0.435294117647,0.0346171480972,0.388489208633,1
long embroidered bomber jacket,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
guipure lace bomber jacket,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
patch bomber jacket,0.115127697502,0.435294117647,0.0341586428244,0.388489208633,1
sequin patchwork jacket,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
contrast blue jacket,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
bleach wash denim jacket,0.112101562702,0.435294117647,0.026593305823,0.388489208633,1
roll-up sleeve jacket,0.111643057429,0.435294117647,0.025447042641,0.388489208633,1
faded denim jumpsuit,0.111643057429,0.435294117647,0.025447042641,0.388489208633,1
short jumpsuit,0.697774186832,0.976470588235,0.0373681797341,1.1654676259,3
studs and chain cross body bag,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
white dungarees with rips,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
vintage fade denim dungarees,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
stud earrings,0.166078306543,0.407407407407,0.0414947271894,0.611510791367,1
short sleeve sweater,0.116778316484,0.435294117647,0.0382851902797,0.388489208633,1
guipure lace tube dress,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
lace tube dress,0.113660480629,0.435294117647,0.0304906006419,0.388489208633,1
denim dress,0.119070842848,0.435294117647,0.0440165061898,0.388489208633,1
lace midi dress,0.117328522812,0.435294117647,0.0396607060981,0.388489208633,1
multicoloured striped dress,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
Mousse Foundation,0.164977893888,0.407407407407,0.0387436955525,0.611510791367,1
aviator sunglasses,0.11870403863,0.435294117647,0.0430994956442,0.388489208633,1
bird print flowing bermuda shorts,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
paisley print bermuda shorts,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
guipure lace bermuda shorts,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
micro polka dot textured weave bermuda shorts,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
sweatshirt,0.101464240372,0.435294117647,0,0.388489208633,1
raglan sleeve sweatshirt,0.440908426427,0.917647058824,0.032783127006,0.776978417266,2
straight leg flowing trousers,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
mid-rise power stretch trousers,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
high waist skinny trousers,0.114118985902,0.435294117647,0.0316368638239,0.388489208633,1
bleach effect skinny trousers,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
mid-rise biker trousers,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
darted trousers with cord,0.687778771885,0.976470588235,0.0123796423659,1.1654676259,3
trousers,0.149480415667,0.407407407407,0,0.611510791367,1
cropped trousers with front pleat,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
textured weave suit trousers,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
frayed peplum top,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
jersey top,0.164427687561,0.407407407407,0.0373681797341,0.611510791367,1
guipure lace top,0.114944295393,0.435294117647,0.0337001375516,0.388489208633,1
street top,0.113201975356,0.435294117647,0.0293443374599,0.388489208633,1
flower print t-shirt,0.113660480629,0.435294117647,0.0304906006419,0.388489208633,1
textured t-shirt,0.439991415881,0.917647058824,0.0304906006419,0.776978417266,2
striped back and pocket t-shirt,0.432747032571,0.917647058824,0.0123796423659,0.776978417266,2
printed t-shirt,0.116411512266,0.435294117647,0.0373681797341,0.388489208633,1
t-shirt with zip on sleeves,0.432747032571,0.917647058824,0.0123796423659,0.776978417266,2
oversized linen t-shirt,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
striped fabric seamed t-shirt,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
short sleeve t-shirt with oversized pocket,0.931841404132,0.994117647059,0.0123796423659,1.55395683453,4
creased texture t-shirt,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
micro polka dot textured weave blazer,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
textured weave suit blazer,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
paisley print blazer,0.112926872193,0.435294117647,0.0286565795507,0.388489208633,1
leather strap sandals,0.11549450172,0.435294117647,0.03507565337,0.388489208633,1
casual roman sandals,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
leather sandals with buckle,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
flat metallic leather sandals,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
crossover metallic sandals,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
closet,0.149480415667,0.407407407407,0,0.611510791367,1
straw hat,0.118428935466,0.435294117647,0.042411737735,0.388489208633,1
openwork coat,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
tribal linen coat,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
triple choker necklace,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
favourite statement necklace,0.652278177458,0.888888888889,0,1.22302158273,2
short tribal skirt,0.111643057429,0.435294117647,0.025447042641,0.388489208633,1
lace tube skirt,0.112560067974,0.435294117647,0.027739569005,0.388489208633,1
tie-dye midi skirt,0.112560067974,0.435294117647,0.027739569005,0.388489208633,1
midi skirts,1.08033573141,0.981481481481,0,1.8345323741,3
wrap skirt,0.117511924921,0.435294117647,0.0401192113709,0.388489208633,1